#development stage,vegetative stage,,,,,,,
#age,21 (day),,,,,,,
#genotype,Col-0,,,,,,,
#organism part,whole organism,,,,,,,
#compound,,,t-zeatin,t-zeatin,none,none,t-zeatin,none
Gene ID,Gene Name,DesignElementAccession,NO.20-2,NO.19-2,NO.11,NO.10,NO.21-2,NO.12
AT1G03170,FAF2,264363_at,5.518070785,5.573649821,5.477131942,5.78306148,5.467585765,5.597244629
AT1G03180,,264358_at,5.896673396,5.819965803,5.887965027,5.952507108,5.858644266,5.866847824
AT1G03190,XPD,264356_at,6.399869158,6.329696044,6.242541766,6.236190316,6.436310076,6.255879337
AT1G03210,,264355_at,8.726756845,9.002697338,9.312073981,9.212275783,8.785557695,9.478477725
AT1G03250,,264366_at,8.170073066,8.292777953,8.022524924,7.917150542,8.258015493,8.200835899
AT1G03260,,264353_at,7.313147524,7.526693528,7.352671454,7.215355761,7.41905026,7.328688058
AT1G03270,CBSDUF4,264352_at,5.323110354,5.09516384,4.902851903,4.919704863,5.232593891,4.859959221
AT1G03280,,264368_at,8.833259706,8.967411988,8.630533522,8.559086461,8.809721656,8.589820452
AT1G03290,,264362_at,6.781302075,6.988628897,7.828647014,7.707499941,6.874836236,7.752401241
AT1G03300,DUF1,264361_at,5.665759473,5.600342229,5.453491139,5.587841605,5.786421012,5.539939952
AT1G03310,ISA2,264360_at,7.434974505,7.590979839,7.252447811,7.496261839,7.517980853,7.302899216
AT1G03320,,264359_at,4.995230741,4.810250419,5.051226259,5.107416234,5.120857716,4.984263983
AT1G03330,LSM2,264364_at,10.0375583,9.877424627,9.726515289,9.841542458,9.872268831,10.02642851
AT1G03350,,264367_at,8.357661184,8.468732056,8.616331112,8.637831765,8.569482723,8.654299157
AT1G03360,RRP4,264357_at,8.594996685,8.552422042,6.591197608,6.468819522,8.519594016,6.821263234
AT1G03370,,264351_at,7.01959465,7.076698001,7.566940632,7.630447876,7.034858598,7.477583296
AT1G03380,ATG18G,264828_at,7.081916654,7.349194179,7.60210201,7.56527785,7.180320236,7.585355734
